               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.022255,            0.015161,            0.003052,             0.86569,             0.86444,             0.92848,               0.667,            0.025288,           0.0061069,          0.00053839,            0.003862,            0.003862,            0.003862
                 126,            0.022626,            0.014998,           0.0027956,             0.81832,             0.93111,             0.92102,             0.65908,            0.022472,            0.005899,          0.00058986,           0.0038125,           0.0038125,           0.0038125
                 127,            0.022075,            0.014284,           0.0026068,             0.74537,             0.93111,             0.92931,             0.66753,            0.023102,            0.005651,          0.00041685,            0.003763,            0.003763,            0.003763
                 128,            0.022352,            0.014379,            0.002738,             0.84899,             0.93111,             0.93713,             0.66893,            0.022676,           0.0056322,           0.0003992,           0.0037135,           0.0037135,           0.0037135
                 129,             0.02187,            0.014936,           0.0028445,             0.84819,             0.86444,             0.92884,              0.6602,            0.023224,           0.0059607,          0.00045981,            0.003664,            0.003664,            0.003664
                 130,            0.021867,            0.014433,           0.0026062,             0.84171,             0.93111,             0.89534,             0.64833,            0.025066,            0.005883,          0.00054023,           0.0036145,           0.0036145,           0.0036145
                 131,            0.021627,            0.014551,           0.0025966,             0.86558,             0.86444,             0.89542,               0.677,            0.023828,           0.0057523,          0.00036584,            0.003565,            0.003565,            0.003565
                 132,            0.022238,            0.014237,           0.0028891,             0.77438,             0.93111,             0.92855,              0.6747,            0.022848,           0.0057678,          0.00038568,           0.0035155,           0.0035155,           0.0035155
                 133,            0.022075,            0.014529,           0.0024106,             0.84012,             0.93111,             0.92856,             0.66104,            0.025053,           0.0057549,          0.00035051,            0.003466,            0.003466,            0.003466
                 134,            0.021756,            0.014487,            0.002501,             0.89503,             0.93111,             0.92844,             0.69065,             0.02412,           0.0055552,          0.00036259,           0.0034165,           0.0034165,           0.0034165
                 135,            0.021518,            0.014275,           0.0023403,             0.88257,             0.93111,             0.92866,             0.66417,            0.024774,           0.0054753,          0.00041359,            0.003367,            0.003367,            0.003367
                 136,            0.020913,            0.013962,           0.0025495,             0.81822,             0.93111,              0.9288,             0.65916,            0.025449,           0.0053685,           0.0004707,           0.0033175,           0.0033175,           0.0033175
                 137,            0.021371,            0.014187,           0.0023601,             0.87644,             0.93111,             0.92873,             0.66548,            0.024704,           0.0055208,          0.00059781,            0.003268,            0.003268,            0.003268
                 138,            0.021854,            0.014074,           0.0020365,             0.86445,             0.93111,             0.92892,             0.66229,            0.025609,           0.0055959,          0.00077311,           0.0032185,           0.0032185,           0.0032185
                 139,            0.021132,             0.01401,           0.0021043,             0.88962,             0.93111,             0.92885,                0.65,            0.025131,           0.0053234,          0.00054342,            0.003169,            0.003169,            0.003169
                 140,            0.021156,            0.014052,           0.0021571,             0.89393,             0.93111,             0.92867,             0.63771,            0.024197,            0.005409,          0.00035969,           0.0031195,           0.0031195,           0.0031195
                 141,            0.020985,            0.014148,           0.0023898,             0.92412,             0.93019,             0.92889,              0.6687,             0.02507,           0.0055017,          0.00032942,             0.00307,             0.00307,             0.00307
                 142,             0.02157,            0.014292,           0.0020297,             0.86734,             0.93111,             0.92878,             0.67079,            0.023542,           0.0055397,          0.00036296,           0.0030205,           0.0030205,           0.0030205
                 143,            0.020888,            0.013931,           0.0022142,             0.86028,             0.93111,             0.92136,             0.67357,            0.024464,           0.0055192,          0.00031688,            0.002971,            0.002971,            0.002971
                 144,            0.020414,            0.014124,           0.0020872,              0.9213,             0.85125,             0.92869,             0.66007,             0.02346,           0.0055861,          0.00031217,           0.0029215,           0.0029215,           0.0029215
                 145,            0.020766,            0.013871,             0.00204,             0.85975,             0.93111,             0.93332,             0.67509,            0.022805,           0.0055499,          0.00025751,            0.002872,            0.002872,            0.002872
                 146,            0.020583,            0.014104,           0.0021359,             0.86495,             0.93111,             0.92926,             0.66527,            0.023585,           0.0056589,          0.00030277,           0.0028225,           0.0028225,           0.0028225
                 147,            0.021065,            0.014225,           0.0025356,             0.92891,             0.85716,             0.92951,             0.65977,            0.024523,           0.0054691,          0.00033031,            0.002773,            0.002773,            0.002773
                 148,            0.020352,            0.013792,           0.0023492,             0.79046,             0.93111,             0.92922,             0.65663,            0.024569,           0.0056355,          0.00033461,           0.0027235,           0.0027235,           0.0027235
                 149,            0.020519,            0.013905,           0.0023228,             0.89871,             0.93111,             0.92904,             0.67065,            0.023656,           0.0056682,            0.000319,            0.002674,            0.002674,            0.002674
                 150,            0.020686,            0.013832,           0.0019297,             0.92559,             0.85795,             0.92898,             0.67704,            0.022822,           0.0056529,           0.0002638,           0.0026245,           0.0026245,           0.0026245
                 151,            0.020166,            0.013485,           0.0018852,               0.927,             0.86444,             0.92921,             0.64843,            0.022906,           0.0056202,          0.00025762,            0.002575,            0.002575,            0.002575
